tmdbId,tmdb_status,tmdb_title,original_title,director,tmdb_genres,release_date,runtime,original_language,tmdb_rating,tmdb_vote_count,popularity,overview
75780,ok,Jack Reacher,Jack Reacher,Christopher McQuarrie,Crime | Drama | Thriller | Action,2012-12-20,130.0,en,6.674,7773.0,18.2096,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep."
179144,ok,The Great Beauty,La grande bellezza,Paolo Sorrentino,Drama,2013-05-21,142.0,it,7.504,3341.0,5.1786,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
100241,ok,"I, Frankenstein","I, Frankenstein",Stuart Beattie,Horror | Thriller,2014-01-22,92.0,en,5.379,2092.0,5.295,"200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind."
82703,ok,Mr. Peabody & Sherman,Mr. Peabody & Sherman,Rob Minkoff,Animation | Science Fiction | Comedy | Adventure | Family,2014-02-07,92.0,en,6.736,2583.0,9.0368,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed."
214030,ok,Fading Gigolo,Fading Gigolo,John Turturro,Comedy,2013-09-07,90.0,en,5.801,620.0,4.875,"Fioravante decides to become a professional Don Juan as a way of making money to help his cash-strapped friend, Murray. With Murray acting as his ""manager"", the duo quickly finds themselves caught up in the crosscurrents of love and money."
157353,ok,Transcendence,Transcendence,Wally Pfister,Thriller | Science Fiction | Drama | Mystery,2014-04-16,119.0,en,6.078,5885.0,7.974,"Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain."
242095,ok,The Signal,The Signal,William Eubank,Thriller | Science Fiction,2014-03-15,97.0,en,6.024,1879.0,4.1543,"On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness – only to find himself in a waking nightmare."
244506,ok,Camp X-Ray,Camp X-Ray,Peter Sattler,Drama,2014-10-17,117.0,en,6.723,1119.0,5.2271,"A young woman joins the military to be part of something bigger than herself and her small-town roots. Instead, she ends up as a new guard at Guantanamo Bay, where her mission is far from black and white. Surrounded by hostile jihadists and aggressive squadmates, she strikes up an unusual friendship with one of the detainees."
49017,ok,Dracula Untold,Dracula Untold,Gary Shore,Horror | Action | Fantasy,2014-10-01,92.0,en,6.466,6580.0,9.0506,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula."
293310,ok,Citizenfour,Citizenfour,Laura Poitras,Documentary,2014-10-10,113.0,en,7.731,1429.0,2.949,"In June 2013, Laura Poitras and reporter Glenn Greenwald flew to Hong Kong for the first of many meetings with Edward Snowden. She brought her camera with her."
